text,label,notes
"They are showing the mascots of past world cups, a reminder of how fucked up the Italy World Cup mascot was. #WorldCup2022",reaction,
"@AlexScott Alex you know nothing about world politics.  Just stick to talking about women's football. #WorldCup2022 #BBCSport 
#Qatar2022 @BBCSport",hot_take,
"@FIFAWorldCup: FIFA should be ashamed of itself/put its own house in order before criticising others‼️  The #WorldCup2022 should not be being played in Qatar 🇶🇦, and FIFA should have had the courage of its convictions and withdrawn...1/2",hot_take,
"Tunisia's Youssef Msakni was their main attacking threat, scoring 1 goal, but his team's overall performance was inconsistent.",analysis,AI generated
Believe me this World Cup will be full of twists ... 🤔 #WorldCup  #WorldcupQatar2022 #WorldCup2022 #Qatar #Ecuador,hot_take,
"Ecuador's Moises Caicedo was the youngest player to start a game, at just 20 years old, and showed immense promise.",analysis,AI generated
"Serbia's Dusan Vlahovic was their standout player, scoring 1 goal, but his team's defensive issues were exposed.",analysis,AI generated
"Netherlands' Frenkie De Jong was their creative spark, providing 2 assists, and scoring 1 goal, in the knockout stages.",analysis,AI generated
"Brazil's Richarlison was their top scorer, netting 3 goals, but his team's overall performance was inconsistent.",analysis,AI generated
Absolute joke already. Corrupt. #WorldCup2022,hot_take,
"Senegal's Kalidou Koulibaly was their standout defender, making 15 tackles, and completing 85% of his passes.",analysis,AI generated
"Prediction:
#Qatar 2:1: #Ecuador 

#Prediction 
 #قطر_الاكوادور 
#WorldCup2022 
#QatarWorldCup2022",hot_take,
"E. Valencia doubles the lead for #ECU 
Wonderful Header!
#WorldCup2022",reaction,
"Netherlands' Virgil Van Dijk was their standout defender, making 10 interceptions, and winning 80% of aerial duels.",analysis,AI generated
VAR is stupid #WorldCup2022,hot_take,
The World Cup is officially 30 minutes away! The time is finally here. #WorldCup2022 #WorldcupQatar2022,reaction,
Can’t buy this one out #Qatar2022 #WorldCup2022,reaction,
"Uruguay's Luis Suarez was their standout player, scoring 1 goal, but his team's overall performance was inconsistent.",analysis,AI generated
"You belongs to which team :
#FIFAWorldCup #WorldCup2022 #FIFAWorldCup2022",reaction,
That was the deadest opening game of the World Cup. #WC #WorldCup2022 #Ecuador #Qatar,reaction,
#GTFOH offside? Are you kidding me??!! Not only #Qatar bribed its way into getting the #WorldCup2022 they seem to be bribing officials into fixing the losing game for them too. #WorldCup #WorldcupQatar2022,hot_take,
"Wales' Gareth Bale was their main attacking threat, scoring 1 goal, but his team's lack of creativity hindered their progress.",analysis,AI generated
Wow...... 3 minutes in and the corruption has begun already.... joke of a competition #WorldCup2022,hot_take,
@ollysimmonds Looking forward to the soft Ecuador red card coming up soon #WorldCup2022,hot_take,
Not really excited for this opening game nah 😆 #WorldCup2022,reaction,
"Poland's Robert Lewandowski was their top scorer, netting 2 goals, but his team's lack of creativity hindered their progress.",analysis,AI generated
Good to see the Scottish refs in charge of VAR at #WorldCup2022 #neveroff,hot_take,
#BBCWorldCup 's early coverage is like a wake...very dark. They are finding a reason to act fake oppressed. #FOX has been pretty good so far. Not terribly annoying. Upbeat &amp; treating the event like a celebration. #WorldCup #WorldCup2022 #FIFAWorldCup #FIFAWorldCup2022 #Qatar2022,hot_take,
"USA's Walker Zimmerman was their standout defender, making 10 interceptions, and winning 75% of aerial duels.",analysis,AI generated
"Even Dion Dublin sounds bored with himself.
#WorldCup2022 #BBCWorldCup",reaction,
"Ecuador's Enner Valencia was their top scorer, netting 3 goals, but his team's overall performance was underwhelming.",analysis,AI generated
These hooligans tell their mothers and father to F off and send them to age care homes and pray on their death so they can get inheritance. Please tell me what human rights are you talking about?? #WorldCup2022,hot_take,
I'd rather have constant vuvuzela noise through every game than no beer. #WorldCup2022,hot_take,
"Iran's Mehdi Taremi was their top scorer, netting 2 goals, but his team's overall performance was inconsistent.",analysis,AI generated
3 minutes in #WorldCup2022 is a joke 🤪🤪,reaction,
"TE AMO JEON JUNGKOOK 
#DreamersbyJungkook #DREAMERS #WorldCup2022",reaction,
"Portugal's counter-attacking threat was potent, scoring 4 goals on the break, showcasing their pace and directness.",analysis,AI generated
"Mexico's Guillermo Ochoa was their standout player, making 20 saves, but his team's lack of creativity hindered their progress.",analysis,AI generated
"Poland's Kamil Glik was their standout defender, making 10 interceptions, and winning 70% of aerial duels.",analysis,AI generated
"Spain's Pedri was their standout player, completing 92% of his passes, and providing 1 assist, in the knockout stages.",analysis,AI generated
Why has Ashley Williams got glitter in his beard? #WorldCup2022,reaction,
"Brazil's chances of winning are doomed with Neymar as their leader, he's too selfish on the pitch.",hot_take,AI generated
#WorldCup2022 crazy prediction?,hot_take,
#WorldCup2022 corruption already seeping through....,hot_take,
"If @GaryLineker, @alanshearer and @AlexScott cared about the situations in Qatar so much then how about donating your 10 day wages to a #LGBTQ charity? #QatarWorldCup2022 #benderslikeBeckham #Qatar #WorldCup #WorldCup2022",hot_take,
#WorldCup2022 Var should not be allowed in the world cup. It ruins the game and the atmosphere,hot_take,
